model_clstr,fitness,precision,num_traces,num_variants,perc_variants,coverage
complete,0.9998589155611124,0.6961584875883737,150370,231,1.0,1.0
cluster6-medoid0,0.9999303177235708,0.4424848026298625,1095,26,1.0,1.0
cluster6-medoid1,0.999757349957031,0.4656493826621478,67331,48,1.0,1.0
cluster6-medoid2,0.9999762753006272,0.4006707946336429,102,21,1.0,1.0
cluster6-medoid3,0.9999639122703112,0.5233154963415966,288,36,1.0,1.0
cluster4-medoid0,0.9998799817169542,0.6213867292154386,38750,39,1.0,1.0
cluster4-medoid1,0.9999395053120528,0.5169054441260745,104,24,1.0,1.0
cluster4-medoid2,0.9999494115132256,0.5004903909874089,6238,9,1.0,1.0
cluster4-medoid3,0.9999872113340252,0.4599468702061585,856,33,1.0,1.0
cluster0-medoid0,0.9999060093577284,0.4315540325714487,1887,31,1.0,1.0
cluster0-medoid1,0.9999420116622189,0.2734988330150647,319,26,1.0,1.0
cluster1-medoid0,0.9999495634280504,0.4357832219747587,572,29,1.0,1.0
cluster1-medoid1,0.9998390257341454,0.4582328088172752,25444,40,1.0,1.0
cluster1-medoid2,0.9999480428741092,0.5803523758675921,136,29,1.0,1.0
cluster2-medoid0,0.9999458342812334,0.743421052631579,14,12,1.0,1.0
cluster2-medoid1,0.9999502686618182,0.4405578417924096,261,22,1.0,1.0
cluster2-medoid2,0.999797004748227,0.4986556808326106,4672,29,1.0,1.0
cluster2-medoid3,0.9999782870013696,0.4260369216015344,95,32,1.0,1.0
cluster3-medoid0,0.99988879051199,0.420182484597988,850,21,1.0,1.0
cluster3-medoid1,0.9999930232990804,0.903846153846154,8,6,1.0,1.0
cluster3-medoid2,0.9999420391025868,0.9527027027027029,8,8,1.0,1.0
cluster5-medoid0,0.9998292270795264,0.4374917942388993,1286,21,1.0,1.0
cluster5-medoid1,0.9999351534801976,0.6377551020408163,10,6,1.0,1.0
cluster5-medoid2,0.9999839889619342,0.426904598490048,44,20,1.0,1.0
complete,0.999944314849183,0.7149482512859711,136494,5,0.0216450216450216,0.9
cluster6-medoid0,1.0,1.0,1011,2,0.0769230769230769,0.9
cluster6-medoid1,0.9999839727465584,0.7160359674442587,61471,4,0.0833333333333333,0.9
cluster6-medoid2,0.999975698210163,0.4153430212909766,92,11,0.5238095238095238,0.9
cluster6-medoid3,0.9999870880473466,0.7571523619427811,262,16,0.4444444444444444,0.9
cluster4-medoid0,0.9999565861881564,0.843034369842673,36047,4,0.1025641025641025,0.9
cluster4-medoid1,0.9999676163364286,0.7660524846454495,94,14,0.5833333333333334,0.9
cluster4-medoid2,1.0,1.0,6198,1,0.1111111111111111,0.9
cluster4-medoid3,0.9999921044904468,0.9940764674205708,777,4,0.1212121212121212,0.9
cluster0-medoid0,0.999998076952134,1.0,1705,3,0.0967741935483871,0.9
cluster0-medoid1,0.999980111096588,0.8101529902642559,288,5,0.1923076923076923,0.9
cluster1-medoid0,0.9999884307415404,0.8047534865448831,526,3,0.1034482758620689,0.9
cluster1-medoid1,0.9999861021608348,0.7137024594786787,23018,4,0.1,0.9
cluster1-medoid2,0.9999858078868564,0.8495794161306284,124,18,0.6206896551724138,0.9
cluster2-medoid0,0.99994703290672,0.7400722021660651,13,11,0.9166666666666666,0.9
cluster2-medoid1,0.9999596787656598,0.8891988840175369,237,5,0.2272727272727272,0.9
cluster2-medoid2,0.9999472308386632,0.7197410549440277,4373,6,0.2068965517241379,0.9
cluster2-medoid3,0.9999785045311868,0.3562933597621407,86,23,0.71875,0.9
cluster3-medoid0,0.9999854230817816,0.8748134328358209,782,4,0.1904761904761904,0.9
cluster3-medoid1,0.9999930232990804,0.903846153846154,8,6,1.0,0.9
cluster3-medoid2,0.9999420391025868,0.9527027027027029,8,8,1.0,0.9
cluster5-medoid0,0.999968746328975,0.8769700551615445,1187,6,0.2857142857142857,0.9
cluster5-medoid1,0.9999348703492332,0.6338797814207651,9,5,0.8333333333333334,0.9
cluster5-medoid2,0.9999876037155796,0.6432964329643296,40,16,0.8,0.9
complete,0.999996922545056,1.0,123238,3,0.0129870129870129,0.8
cluster6-medoid0,1.0,1.0,1011,2,0.0769230769230769,0.8
cluster6-medoid1,0.9999967213989054,1.0,57120,3,0.0625,0.8
cluster6-medoid2,0.9999882355017264,0.7075283144570286,83,6,0.2857142857142857,0.8
cluster6-medoid3,0.9999944415446648,0.7796331782096907,234,10,0.2777777777777778,0.8
cluster4-medoid0,1.0,1.0,31885,2,0.0512820512820512,0.8
cluster4-medoid1,0.999990652141753,0.7556528081692195,85,8,0.3333333333333333,0.8
cluster4-medoid2,1.0,1.0,6198,1,0.1111111111111111,0.8
cluster4-medoid3,1.0,1.0,744,2,0.0606060606060606,0.8
cluster0-medoid0,0.9999978276434276,1.0,1520,2,0.064516129032258,0.8
cluster0-medoid1,1.0,1.0,271,2,0.0769230769230769,0.8
cluster1-medoid0,1.0,1.0,489,2,0.0689655172413793,0.8
cluster1-medoid1,0.9999971321482848,1.0,21522,3,0.075,0.8
cluster1-medoid2,0.999992590605692,0.8421965317919076,110,12,0.4137931034482758,0.8
cluster2-medoid0,0.9999380505936412,0.7372549019607844,12,10,0.8333333333333334,0.8
cluster2-medoid1,0.999988075870428,0.8174868609651218,221,3,0.1363636363636363,0.8
cluster2-medoid2,0.999996785198954,0.8753162527171008,4013,4,0.1379310344827586,0.8
cluster2-medoid3,0.9999858555283668,0.8457047539616347,76,13,0.40625,0.8
cluster3-medoid0,0.9999963867085372,1.0,688,2,0.0952380952380952,0.8
cluster3-medoid1,0.9999929203978384,0.8681318681318682,7,5,0.8333333333333334,0.8
cluster3-medoid2,0.9999416067344952,0.9508196721311476,7,7,0.875,0.8
cluster5-medoid0,0.9999871530556146,0.8640845070422535,1126,4,0.1904761904761904,0.8
cluster5-medoid1,0.9999360921476046,0.639240506329114,8,4,0.6666666666666666,0.8
cluster5-medoid2,0.9999888510472468,0.7413249211356467,36,12,0.6,0.8
complete,0.999996922545056,1.0,123238,3,0.0129870129870129,0.7
cluster6-medoid0,1.0,1.0,860,1,0.0384615384615384,0.7
cluster6-medoid1,1.0,1.0,47284,2,0.0416666666666666,0.7
cluster6-medoid2,0.9999944444753084,0.9897172236503856,73,3,0.1428571428571428,0.7
cluster6-medoid3,0.9999950621427888,0.9036468330134356,203,6,0.1666666666666666,0.7
cluster4-medoid0,1.0,1.0,31885,2,0.0512820512820512,0.7
cluster4-medoid1,0.9999926471981196,0.9518652226233454,73,4,0.1666666666666666,0.7
cluster4-medoid2,1.0,1.0,6198,1,0.1111111111111111,0.7
cluster4-medoid3,1.0,1.0,641,1,0.0303030303030303,0.7
cluster0-medoid0,0.9999978276434276,1.0,1520,2,0.064516129032258,0.7
cluster0-medoid1,1.0,1.0,241,1,0.0384615384615384,0.7
cluster1-medoid0,1.0,1.0,431,1,0.0344827586206896,0.7
cluster1-medoid1,1.0,1.0,18163,2,0.05,0.7
cluster1-medoid2,0.9999993421091584,0.9583987441130298,99,9,0.3103448275862069,0.7
cluster2-medoid0,0.9999393081124824,0.726457399103139,10,8,0.6666666666666666,0.7
cluster2-medoid1,1.0,1.0,202,2,0.0909090909090909,0.7
cluster2-medoid2,0.999997631918288,1.0,3321,2,0.0689655172413793,0.7
cluster2-medoid3,0.999999739810728,0.978085351787774,68,8,0.25,0.7
cluster3-medoid0,0.9999963867085372,1.0,688,2,0.0952380952380952,0.7
cluster3-medoid1,0.9999936937277816,0.8536585365853658,6,4,0.6666666666666666,0.7
cluster3-medoid2,0.9999417400423296,0.9509803921568628,6,6,0.75,0.7
cluster5-medoid0,0.999991444657624,0.8606833493743985,1022,3,0.1428571428571428,0.7
cluster5-medoid1,0.9999508777962376,0.6422764227642277,7,3,0.5,0.7
cluster5-medoid2,0.9999896553526472,0.8309572301425662,32,9,0.45,0.7
complete,1.0,1.0,102853,2,0.0086580086580086,0.6
cluster6-medoid0,1.0,1.0,860,1,0.0384615384615384,0.6
cluster6-medoid1,1.0,1.0,47284,2,0.0416666666666666,0.6
cluster6-medoid2,1.0,1.0,69,2,0.0952380952380952,0.6
cluster6-medoid3,1.0,0.901928600738613,191,5,0.1388888888888889,0.6
cluster4-medoid0,1.0,1.0,31885,2,0.0512820512820512,0.6
cluster4-medoid1,0.999999390778192,0.9527665317139,68,3,0.125,0.6
cluster4-medoid2,1.0,1.0,6198,1,0.1111111111111111,0.6
cluster4-medoid3,1.0,1.0,641,1,0.0303030303030303,0.6
cluster0-medoid0,1.0,1.0,1303,1,0.032258064516129,0.6
cluster0-medoid1,1.0,1.0,241,1,0.0384615384615384,0.6
cluster1-medoid0,1.0,1.0,431,1,0.0344827586206896,0.6
cluster1-medoid1,1.0,1.0,18163,2,0.05,0.6
cluster1-medoid2,0.99999923291947,0.9888551165146908,85,6,0.2068965517241379,0.6
cluster2-medoid0,0.9999393767050302,0.7238095238095238,9,7,0.5833333333333334,0.6
cluster2-medoid1,1.0,1.0,202,2,0.0909090909090909,0.6
cluster2-medoid2,1.0,1.0,2807,1,0.0344827586206896,0.6
cluster2-medoid3,1.0,0.916010498687664,59,5,0.15625,0.6
cluster3-medoid0,1.0,1.0,531,1,0.0476190476190476,0.6
cluster3-medoid1,0.9999935484217828,0.8461538461538461,5,3,0.5,0.6
cluster3-medoid2,0.9999410535623122,0.9523809523809524,5,5,0.625,0.6
cluster5-medoid0,0.999991652025689,0.8601880877742947,892,2,0.0952380952380952,0.6
cluster5-medoid1,0.999957447080125,1.0,6,2,0.3333333333333333,0.6
cluster5-medoid2,0.9999924844741762,0.8270142180094786,28,7,0.35,0.6
complete,1.0,1.0,102853,2,0.0086580086580086,0.5
cluster6-medoid0,1.0,1.0,860,1,0.0384615384615384,0.5
cluster6-medoid1,1.0,1.0,47284,2,0.0416666666666666,0.5
cluster6-medoid2,1.0,1.0,69,2,0.0952380952380952,0.5
cluster6-medoid3,1.0,1.0,150,3,0.0833333333333333,0.5
cluster4-medoid0,1.0,1.0,31885,2,0.0512820512820512,0.5
cluster4-medoid1,1.0,1.0,61,2,0.0833333333333333,0.5
cluster4-medoid2,1.0,1.0,6198,1,0.1111111111111111,0.5
cluster4-medoid3,1.0,1.0,641,1,0.0303030303030303,0.5
cluster0-medoid0,1.0,1.0,1303,1,0.032258064516129,0.5
cluster0-medoid1,1.0,1.0,241,1,0.0384615384615384,0.5
cluster1-medoid0,1.0,1.0,431,1,0.0344827586206896,0.5
cluster1-medoid1,1.0,1.0,18163,2,0.05,0.5
cluster1-medoid2,0.9999991525474,0.9730639730639732,77,5,0.1724137931034483,0.5
cluster2-medoid0,0.999940001679953,0.694267515923567,7,5,0.4166666666666667,0.5
cluster2-medoid1,1.0,1.0,142,1,0.0454545454545454,0.5
cluster2-medoid2,1.0,1.0,2807,1,0.0344827586206896,0.5
cluster2-medoid3,1.0,0.9888682745825604,49,3,0.09375,0.5
cluster3-medoid0,1.0,1.0,531,1,0.0476190476190476,0.5
cluster3-medoid1,0.999995890433477,0.9111111111111112,4,2,0.3333333333333333,0.5
cluster3-medoid2,0.9999405415047324,0.9538461538461538,4,4,0.5,0.5
cluster5-medoid0,1.0,1.0,756,1,0.0476190476190476,0.5
cluster5-medoid1,0.999957447080125,1.0,6,2,0.3333333333333333,0.5
cluster5-medoid2,0.9999979695668528,0.971326164874552,23,5,0.25,0.5
