model_clstr,fitness,precision,coverage
cluster0-medoid0,0.9997374104130862,0.2555628085001621,1.0
cluster0-medoid1,0.9997342407787236,0.1463287674969426,1.0
cluster3-medoid0,0.9997391339728634,0.2739778386047586,1.0
cluster3-medoid1,0.9997793432901552,0.1025195953459358,1.0
cluster3-medoid2,0.9997019380543338,0.2303988950560827,1.0
cluster3-medoid3,0.9997773282560486,0.151473831287982,1.0
cluster1-medoid0,0.9997569393596196,0.0800911606706821,1.0
cluster1-medoid1,0.999727478648012,0.2121436678642115,1.0
cluster4-medoid0,0.9997807717458016,0.2017970811985716,1.0
cluster4-medoid1,0.9996323393843192,0.3282556242471159,1.0
cluster4-medoid2,0.9997755705567324,0.3888947167793964,1.0
cluster4-medoid3,0.9997058090526812,0.1951172727633511,1.0
cluster4-medoid4,0.9996841931960068,0.2878424254511024,1.0
cluster2-medoid0,0.999690549346684,0.3169061185974045,1.0
cluster2-medoid1,0.9997121449924246,0.2023875484813379,1.0
cluster2-medoid2,0.9997765353110208,0.1668282541554638,1.0
cluster0-medoid0,0.9997421601548324,0.3321621555709622,0.9
cluster0-medoid1,0.9998065235413252,0.1731776897099415,0.9
cluster3-medoid0,0.999789983409338,0.267946982025068,0.9
cluster3-medoid1,0.9997783923069448,0.1008700625407097,0.9
cluster3-medoid2,0.9997087880652092,0.3690129910041542,0.9
cluster3-medoid3,0.999776954622124,0.1430031610228842,0.9
cluster1-medoid0,0.9997585909236396,0.0837277728028655,0.9
cluster1-medoid1,0.9997385168560262,0.1925403862427848,0.9
cluster4-medoid0,0.9997810566533872,0.1900700605548514,0.9
cluster4-medoid1,0.9998367777612028,0.8149276327741779,0.9
cluster4-medoid2,0.9999617656909212,0.9033986266355676,0.9
cluster4-medoid3,0.9997479157292828,0.1873830869082962,0.9
cluster4-medoid4,0.999952547839992,0.6639200295910985,0.9
cluster2-medoid0,0.9998096146680636,0.3412181817799929,0.9
cluster2-medoid1,0.9997980877584292,0.2345401691331924,0.9
cluster2-medoid2,0.9996032781563158,0.1648745247437129,0.9
cluster0-medoid0,0.9998905778136256,0.4638151673376752,0.8
cluster0-medoid1,0.9998060175399424,0.1724882349853921,0.8
cluster3-medoid0,0.9999401919651658,0.4408740359897172,0.8
cluster3-medoid1,0.9997780303473084,0.1016039060424757,0.8
cluster3-medoid2,0.999882054123138,0.4681017256553129,0.8
cluster3-medoid3,0.9997759987705346,0.1491249183371729,0.8
cluster1-medoid0,0.9997594453378011,0.0823836126629422,0.8
cluster1-medoid1,0.9996385558699716,0.2733893710812365,0.8
cluster4-medoid0,0.9997636429410828,0.2153714056048814,0.8
cluster4-medoid1,0.9999040478311344,0.9956869138885998,0.8
cluster4-medoid2,0.999969583413668,0.9871844144259556,0.8
cluster4-medoid3,0.9996735062298676,0.1980119209825211,0.8
cluster4-medoid4,0.99996152964703,0.8855079464567306,0.8
cluster2-medoid0,0.9998134401556,0.4130070929089361,0.8
cluster2-medoid1,0.9997069382895648,0.1909825870646766,0.8
cluster2-medoid2,0.9996220050057372,0.1533733153223713,0.8
cluster0-medoid0,0.9999483050224384,0.9136578088384442,0.7
cluster0-medoid1,0.9998085459724478,0.2191703279012038,0.7
cluster3-medoid0,0.9999510365590628,0.937577002053388,0.7
cluster3-medoid1,0.9997779553621524,0.0997719078802148,0.7
cluster3-medoid2,0.9999317432131294,0.9494855080054472,0.7
cluster3-medoid3,0.9997754057259388,0.154575608096615,0.7
cluster1-medoid0,0.999803671532665,0.143652561247216,0.7
cluster1-medoid1,0.9998497778623868,0.6835123876342908,0.7
cluster4-medoid0,0.9997466766353597,0.2004958522821457,0.7
cluster4-medoid1,0.9999649994608164,0.9425478540655504,0.7
cluster4-medoid2,0.9999804515068612,1.0,0.7
cluster4-medoid3,0.9997796989475034,0.2527231789691474,0.7
cluster4-medoid4,0.9999612695957008,0.8807660229678578,0.7
cluster2-medoid0,0.9998591988583002,0.5340464159940503,0.7
cluster2-medoid1,0.9997074307949436,0.1809210526315789,0.7
cluster2-medoid2,0.999623660183072,0.1737743502129617,0.7
cluster0-medoid0,0.9999609779975052,0.9014621313417908,0.6
cluster0-medoid1,0.999808973936172,0.219399495363887,0.6
cluster3-medoid0,0.999958419757551,0.9070579251663576,0.6
cluster3-medoid1,0.999790334771957,0.1451005358374449,0.6
cluster3-medoid2,0.9999385373223272,0.9520377658557208,0.6
cluster3-medoid3,0.9997757739028884,0.1579946468232123,0.6
cluster1-medoid0,0.9998396543634426,0.1524233200655583,0.6
cluster1-medoid1,0.9999180258308364,0.874512099921936,0.6
cluster4-medoid0,0.9998538111094492,0.3676555830742477,0.6
cluster4-medoid1,0.9999799386086552,0.9604949845317334,0.6
cluster4-medoid2,0.9999826585355444,0.9696052086257838,0.6
cluster4-medoid3,0.9998482644357748,0.2484025299152716,0.6
cluster4-medoid4,0.9999609655395496,0.9722321254010788,0.6
cluster2-medoid0,0.999889477708785,0.6228627768470498,0.6
cluster2-medoid1,0.9998041147410918,0.2929509132420091,0.6
cluster2-medoid2,0.9996997129063132,0.1763315082130413,0.6
cluster0-medoid0,0.9999915327909918,0.9802128683894252,0.5
cluster0-medoid1,0.9995849211825124,0.267328945040826,0.5
cluster3-medoid0,0.9999610452425092,0.912996573169184,0.5
cluster3-medoid1,0.9997419248604704,0.1600290183969196,0.5
cluster3-medoid2,0.9999393255585938,0.9415770952529146,0.5
cluster3-medoid3,0.9998659128565772,0.2926510558227054,0.5
cluster1-medoid0,0.9999188061391447,0.2314638783269962,0.5
cluster1-medoid1,0.9999604625211636,0.9633614422797324,0.5
cluster4-medoid0,0.9998652016539128,0.4359846055163566,0.5
cluster4-medoid1,1.0,1.0,0.5
cluster4-medoid2,1.0,1.0,0.5
cluster4-medoid3,0.999881943377207,0.3027715889849389,0.5
cluster4-medoid4,1.0,1.0,0.5
cluster2-medoid0,0.999943503080212,0.6788136496485491,0.5
cluster2-medoid1,0.9998151972688102,0.2901778007940617,0.5
cluster2-medoid2,0.9997466369489236,0.2186508046040465,0.5
complete,0.9997526207041699,0.28212329504680234,1.0
complete,0.9997446733425002,0.33904958071661495,0.9
complete,0.9998209291119636,0.3733638240539464,0.8
complete,0.9999231861439812,0.8922099139591013,0.7
complete,0.9999344478800126,0.8918387287772239,0.6
complete,0.9999316172671224,0.8697885283700164,0.5
